Age,Weight,Activity Level,Daily Routines,Water Intake (ml),User_ID,Wake_Time,Bedtime,Meal_1,Meal_2,Meal_3,Activity_Level,Weather_Condition
26,63.2,active,Coach player environmental station character cut radio.,2717.6,b9276bbb-59ca-439e-a46c-fee06b17324f,06:44:03,22:44:03,Breakfast,Lunch,Dinner,Sedentary,Cold
25,53.21,sedentary,Happen image better.,1809.14,66d16f76-3e32-4426-881a-540c1e925391,06:53:30,22:53:30,Breakfast,Lunch,Dinner,Active,Cold
29,63.95,active,Need big than recently assume conference free.,2813.8,6d517edc-5ded-45e1-b1ca-ed423f2ea2a1,07:21:42,23:21:42,Breakfast,Lunch,Dinner,Sedentary,Hot
51,77.62,sedentary,Long early career traditional space find television threat.,2639.08,ed859ad0-e2e2-45ff-8821-444f8cb8a4cf,06:27:21,22:27:21,Breakfast,Lunch,Dinner,Sedentary,Cold
50,72.13,active,Scientist similar serious actually.,2957.33,b3322750-ae08-4f54-8a20-91694b007834,08:04:57,00:04:57,Breakfast,Lunch,Dinner,Moderate,Hot
65,78.68,moderate,Interesting member less close article well police hit.,2753.8,3103dfd6-cd69-40c8-860f-0f55c160a367,07:59:40,23:59:40,Breakfast,Lunch,Dinner,Active,Cold
40,60.63,active,Discussion eight yourself significant.,2607.09,b4db1b1d-45bd-4878-939f-490f8e79640a,07:56:57,23:56:57,Breakfast,Lunch,Dinner,Moderate,Moderate
41,61.24,moderate,Teach school show guess perhaps ability partner chair.,2204.64,1bea8774-945a-41d0-9024-4e424ee72628,08:50:20,00:50:20,Breakfast,Lunch,Dinner,Moderate,Hot
54,72.05,moderate,Set five practice individual character industry daughter.,2665.85,a492c48f-21a8-4c65-924f-68fbc35c27a8,06:43:51,22:43:51,Breakfast,Lunch,Dinner,Moderate,Moderate
52,63.97,active,Reflect now model door stock thought dinner character.,2750.71,735dff65-ba06-4dbb-b23a-f3591706efc8,06:25:12,22:25:12,Breakfast,Lunch,Dinner,Sedentary,Hot
61,83.02,sedentary,Often fine wait owner drive Mrs table art.,2739.66,00e0ba15-d50b-4580-b0b4-60e02d4e89e2,07:43:50,23:43:50,Breakfast,Lunch,Dinner,Sedentary,Cold
57,63.73,sedentary,Republican professor bit state goal room available.,2103.09,723832e8-fa73-4b77-bae3-5ca1d8798346,08:54:53,00:54:53,Breakfast,Lunch,Dinner,Active,Cold
39,65.05,sedentary,Any play good goal expert reason between.,2211.7,3f69b6c4-8820-498a-8d85-7abea3007ee3,06:16:07,22:16:07,Breakfast,Lunch,Dinner,Sedentary,Cold
44,74.19,sedentary,Show good cost easy.,2448.27,1922ac35-12c9-43fa-9164-954271677f5c,06:06:13,22:06:13,Breakfast,Lunch,Dinner,Active,Moderate
52,66.11,sedentary,Special fast raise home name total.,1983.3,a45a4052-d47f-472d-9fb5-aac03eb58695,08:31:16,00:31:16,Breakfast,Lunch,Dinner,Active,Cold
18,57.65,moderate,Society number alone.,2190.7,8893a1a2-61e0-4ccf-90f3-5a55d7df42a2,07:38:47,23:38:47,Breakfast,Lunch,Dinner,Sedentary,Moderate
52,59.01,sedentary,Message its take analysis real air there.,2006.34,78e987ef-253e-45a2-8f16-ad1cc7009bf4,06:08:36,22:08:36,Breakfast,Lunch,Dinner,Sedentary,Hot
54,75.38,moderate,Back amount leader draw true.,2864.44,3946acae-91a5-4beb-9f62-a3ea684fed2a,07:52:02,23:52:02,Breakfast,Lunch,Dinner,Moderate,Cold
64,56.41,moderate,Administration option son common.,2087.17,9ff64c98-86c6-4f16-aea0-a197b76329b8,07:48:39,23:48:39,Breakfast,Lunch,Dinner,Sedentary,Cold
31,83.97,moderate,Leave home reality lot political mean.,3106.89,10b96c6a-08f6-430e-a3c0-49c84bfa2ca9,06:22:42,22:22:42,Breakfast,Lunch,Dinner,Sedentary,Cold
20,63.1,active,Food beyond ask.,2776.4,9fdf6963-e7c4-49d1-a2d2-86ae40878c50,08:08:11,00:08:11,Breakfast,Lunch,Dinner,Active,Hot
18,76.16,active,These school vote area for subject year.,3046.4,6d5798f3-e67b-4187-adec-410adc5c9306,08:19:10,00:19:10,Breakfast,Lunch,Dinner,Sedentary,Moderate
22,63.7,moderate,Magazine let prevent purpose price officer.,2229.5,d779b2c9-0918-4275-aa49-75b1a63c067a,07:49:50,23:49:50,Breakfast,Lunch,Dinner,Active,Cold
43,60.85,active,Anyone look television.,2494.85,62c1f753-a71a-4b58-a116-6daec81a5ecd,06:34:25,22:34:25,Breakfast,Lunch,Dinner,Active,Cold
31,72.46,sedentary,Computer later store woman item business.,2463.64,7e093c00-d601-4516-a962-195cdac52d53,07:04:57,23:04:57,Breakfast,Lunch,Dinner,Active,Hot
